Q,Pgen,Ppost
1.5008695,5.231980031858815e-13,7.852519320129042e-13
1.4126159,1.7546337750051842e-13,2.478623560952211e-13
4.437013,1.3507047314157205e-09,5.99309465406124e-09
1.0638645,3.4619666332162653e-16,3.6830632957709446e-16
3.9440281,5.806776245264771e-118,2.2902088908865202e-117
6.382013,9.066212090635336e-12,5.7860682009639724e-11
18.815884,1.1319012711800823e-16,2.129772260650212e-15
1.6107259,2.353769210274456e-15,3.791276981757577e-15
2.6402533,1.1161634545707123e-16,2.9469542503362734e-16
1.6901916,2.7459983169933644e-22,4.641263361899191e-22
3.1644623,1.5148570579705037e-15,4.793708092187664e-15
1.3718705,1.9732827476449644e-20,2.7070884246407812e-20
2.5879323,2.177474519125522e-153,5.635156745537976e-153
2.2425866,2.1010614559182702e-120,4.711812293505259e-120
3.5543823,9.154939872141267e-155,3.254015646082438e-154
12.786823,2.3858284565455145e-14,3.0507166832838223e-13
8.50755,6.0264936224292845e-15,5.127069726122308e-14
11.1420965,3.081913569774802e-17,3.433897845909585e-16
3.1591058,6.833037789319263e-18,2.158628915975751e-17
3.281513,4.9389016525175355e-14,1.6207069858406653e-13
2.753702,8.081936194550485e-12,2.225524325890528e-11
0.24310794,3.5374311244037044e-19,8.599776102669071e-20
3.8320417,4.828084405457743e-12,1.8501420967972785e-11
3.166057,2.5777431477361877e-11,8.161282020212845e-11
2.1450067,2.0241379224635983e-14,4.341789317655498e-14
1.274509,1.0189850689939822e-19,1.298705593502429e-19
5.9300876,4.897730617098015e-10,2.9043971435910682e-09
8.42,1.051744358623174e-13,8.855687579848851e-13
3.370185,3.9786637826977625e-16,1.3408832596165379e-15
3.2148223,1.2644101550160896e-20,4.0648539529914764e-20
0.5103174,4.2993274731633545e-14,2.1940215542089975e-14
4.6734996,1.9039230906639544e-18,8.897983772562958e-18
1.2573993,4.898074672822757e-21,6.158835765867241e-21
0.92062384,1.738674004611122e-13,1.6006647367233698e-13
1.5126754,2.750173938389696e-14,4.1601204748327735e-14
2.1978726,3.6799167004863987e-17,8.087988228703044e-17
3.5752857,1.4839263030219977e-15,5.30546045119235e-15
2.138985,4.335469550313562e-11,9.273503983145783e-11
2.092759,1.8614090174890868e-14,3.895480276660056e-14
1.2756784,8.658004895186247e-15,1.104482979919918e-14
0.92295164,4.115486110364835e-13,3.798394649602461e-13
0.7688514,3.45258664763505e-14,2.654526075658856e-14
2.1311245,2.5890332876452275e-16,5.517552261451013e-16
1.0609306,1.3946255720079798e-12,1.4796009584179104e-12
8.794824,1.7087509632032794e-13,1.5028163377237448e-12
1.7496256,1.5859959296842166e-12,2.7748990223751855e-12
1.1632669,5.988513047629549e-12,6.966238991766952e-12
7.73864,2.862711357221433e-14,2.2153492135204212e-13
0.36180285,1.9607285295539756e-14,7.09397162605059e-15
5.2838635,3.4354792006039996e-17,1.815260330583618e-16
1.3331132,1.0762281461283259e-17,1.434733940832592e-17
3.565265,6.956156751191294e-15,2.480054178398803e-14
1.8574129,3.161810919026545e-14,5.872788496821257e-14
2.0583797,3.24068952771613e-15,6.6705693761948055e-15
1.0647014,1.33580749393244e-15,1.422236159614434e-15
2.943858,1.8239577743059632e-14,5.369472518202674e-14
0.9219939,7.260563083735645e-19,6.6941949555693315e-19
0.6022516,9.718011590979956e-12,5.852687925486477e-12
0.58475196,1.7426656572719738e-15,1.0190271650149389e-15
0.8797532,1.12210650699512e-15,9.871767592969616e-16
0.59846795,2.742722546667757e-14,1.6414315290962752e-14
0.8553912,4.515603376367824e-22,3.862607410510473e-22
2.542579,1.26112515668752e-18,3.2065102585781565e-18
0.91582906,1.0003656146057048e-15,9.161639029434179e-16
1.6133554,4.981788429729901e-14,8.03739525568594e-14
2.7409167,7.632297624181752e-12,2.0919492238623614e-11
2.2994745,1.3342385392060726e-10,3.0680474681587487e-10
2.481733,6.190443570082241e-12,1.5363028610805647e-11
3.1873775,1.0897522329242609e-10,3.473451696416103e-10
3.1647372,8.4202993862394e-13,2.6648034909730334e-12
2.165419,3.278542286385752e-09,7.099418092720365e-09
5.379864,9.138239018384712e-15,4.9162485090899725e-14
1.6014749,2.417794115180306e-10,3.8720365433071774e-10
1.4881198,2.9574309964260655e-10,4.401011743051966e-10
0.43526116,1.3407366441609046e-10,5.835705871733428e-11
0.7353093,3.934237536820253e-10,2.892881460275856e-10
4.603662,4.287886429583727e-09,1.9739979876253142e-08
1.1883177,9.531935904387099e-12,1.1326967735971802e-11
1.9140209,6.040625667959997e-11,1.1561883753135364e-10
0.7554273,4.9173199987921504e-21,3.714677774496779e-21
1.0661902,1.268102247106304e-13,1.352038242696072e-13
0.4104341,1.9318717758056255e-17,7.929060479222925e-18
2.3280313,1.7252742963817646e-14,4.0164925656473983e-14
7.1530504,9.283320279050223e-21,6.640405804582686e-20
1.284162,4.884810843623744e-16,6.272888680066473e-16
0.27476686,2.712778374526187e-12,7.453816023345846e-13
0.86463326,1.6872712590852135e-14,1.4588708528873394e-14
