Q,Pgen,Ppost
4.289082,1.659185868614627e-11,7.116384327225379e-11
1.6146867,1.142260974060437e-09,1.8443936341837994e-09
1.0446533,5.430415006067571e-13,5.67290093729213e-13
0.8546339,2.3497906382055184e-14,2.0082108015687443e-14
1.5215966,6.463296134721057e-14,9.834529106304877e-14
0.5413663,4.041495189241199e-20,2.187929212701959e-20
1.3339132,9.646062843479771e-24,1.2867010622991861e-23
2.6639836,7.302664916413694e-17,1.9454179452764666e-16
1.43303,1.1098089111703454e-13,1.5903894742620515e-13
2.107532,8.186690433660409e-10,1.7253712262653723e-09
0.63283145,2.309210278802815e-12,1.461340898966271e-12
0.48543847,2.7390492217887914e-15,1.3296398527210823e-15
0.16092382,1.02587033986419e-14,1.650869777259891e-15
1.1365799,9.985138705594115e-13,1.134890766369536e-12
0.9017951,1.4065719207065195e-13,1.2684396507628253e-13
0.7014189,2.43712100877489e-22,1.70944268023e-22
3.1031067,1.8290324413891046e-09,5.675682891316374e-09
0.66561276,5.146260471053369e-14,3.4254166214378915e-14
0.62075746,1.3340436651814303e-13,8.281175579197734e-14
0.4849569,2.830277103311001e-10,1.3725623828352814e-10
0.89924645,3.9993263651047935e-14,3.5963800531646007e-14
1.5343887,3.854894689195347e-11,5.914906701932985e-11
3.8839064,6.280027676839395e-13,2.439103946294164e-12
0.16657361,1.850800430855435e-11,3.0829451634207243e-12
0.30405027,3.9787383854607196e-10,1.2097364673987764e-10
0.34353542,7.284353900530035e-10,2.502433600531226e-10
1.0243568,6.525827816905032e-18,6.6847763742282535e-18
0.33505318,8.787398919382126e-17,2.9442459139744346e-17
1.648765,4.175773780023614e-15,6.884869522455114e-15
0.46651247,4.42830566077797e-13,2.0658598180899995e-13
0.53136224,8.600948993957017e-10,4.5702194852470843e-10
0.6790198,6.217724389885963e-09,4.221958026200119e-09
1.2829465,1.8141508487554513e-13,2.327458422740787e-13
0.3337142,2.4554917116952008e-12,8.194324206102211e-13
0.46190083,6.30863398049321e-13,2.9139632734521557e-13
0.2906873,2.9501519222974285e-14,8.575716756834091e-15
0.6503542,2.7907698955453047e-09,1.8149889411146e-09
0.40716457,1.752869251881597e-11,7.137062616406294e-12
0.17898725,2.4495364234556815e-19,4.3843578755273507e-20
0.39400592,2.1561909369385844e-14,8.495520034278157e-15
0.9334385,2.5116951353097235e-10,2.3445128890766376e-10
0.21783654,2.6275075680054822e-17,5.723671677317996e-18
0.4062507,1.3726165058700894e-10,5.5762639637439515e-11
0.855788,8.003211024389516e-11,6.849051895935436e-11
0.95327836,3.038121491293865e-15,2.8961754810592636e-15
1.3049742,6.346994700904434e-13,8.282664321689684e-13
0.4994419,5.285204930202156e-13,2.6396527494650663e-13
0.54635257,7.9672988887218435e-16,4.3529541862737426e-16
0.7472972,9.702639180048223e-17,7.250755357544402e-17
0.22686492,2.5063101380021393e-18,5.685938466132262e-19
0.5529306,2.1717824545468423e-11,1.2008449615250588e-11
1.7074677,4.0653531472216105e-14,6.94145908719026e-14
0.2590295,2.259162178131403e-11,5.851896666735639e-12
0.18015334,1.0899807442942449e-21,1.9636367173064607e-22
0.98299,1.4941828296515076e-12,1.4687668192761303e-12
0.22595938,1.5263247941144606e-17,3.4488739728930597e-18
0.5719945,7.301777574735295e-20,4.176576492280238e-20
0.7031568,7.314110553131943e-23,5.1429667826202674e-23
1.9780167,6.152566832304239e-14,1.2169880152109338e-13
0.41885653,4.213880493464855e-13,1.7650113671493038e-13
0.39498046,2.3927224977019978e-11,9.450786337645735e-12
0.4126504,1.7442776433655801e-10,7.197768783405621e-11
0.309057,1.1561432014352772e-09,3.5731414628346433e-10
1.4422909,1.2724318145109977e-12,1.835216829659849e-12
1.1341976,1.7056558554591066e-18,1.9345507652965713e-18
0.3160126,2.7069385637443097e-11,8.554266695411839e-12
0.19391045,3.27554479568987e-10,6.35162364486453e-11
1.1399659,6.972675105099998e-11,7.948611794682454e-11
