Q,Pgen,Ppost
0.64040726,2.791952601177114e-13,1.787986727187026e-13
3.199548,1.9281685170358024e-09,6.16926773402521e-09
3.474872,1.126517410476922e-09,3.91450393365757e-09
1.2719787,1.8630306721711587e-09,2.3697353993754765e-09
1.1944715,1.416222247241459e-10,1.691637081493592e-10
0.8050495,4.482613585529375e-14,3.608725731623356e-14
2.388971,1.777625819661924e-13,4.2466966925729926e-13
1.6154057,1.930448469844187e-12,3.1184574207187803e-12
1.050042,2.1851100856147564e-18,2.2944574370549025e-18
2.9388058,4.980586122524378e-11,1.463697547670257e-10
1.0602498,4.9211984147825855e-12,5.217699661856247e-12
0.76340646,2.1352295765902117e-17,1.6300480427794034e-17
0.18695511,1.7984807430135627e-12,3.362351637736633e-13
1.2121385,4.654386158436992e-13,5.641760812859761e-13
3.564586,8.181559305387375e-11,2.9163871137570505e-10
1.8934618,3.304989998148864e-09,6.2578723884233786e-09
1.8958215,2.1315122250390716e-09,4.040966601729457e-09
2.3918045,3.8298970271083765e-14,9.160364778181317e-14
2.0476522,1.0412019408154944e-14,2.1320194911592706e-14
2.0704532,7.367110624844472e-18,1.5253257524566204e-17
0.7826635,1.7555180675742934e-16,1.3739799574781836e-16
2.6821923,6.261307600789505e-11,1.6794031195008724e-10
1.0682421,6.468710410418236e-12,6.9101486188440415e-12
3.9245706,8.495606904667053e-15,3.334160875125728e-14
0.36166015,9.047991884183903e-11,3.272298126224542e-11
0.57487595,4.1325303050280525e-10,2.375692288367751e-10
6.590392,3.51581289069719e-17,2.317058554469202e-16
3.0397637,3.6829615651638397e-13,1.1195332833919156e-12
3.94134,2.148845319977889e-19,8.469329948191986e-19
0.9418736,3.1694137837592047e-23,2.985187202155428e-23
1.5881268,5.735126504690509e-10,9.108107980772528e-10
1.0796176,5.718144412326385e-12,6.173409458475753e-12
8.7647085,7.594477791154626e-16,6.6563384193352055e-15
5.834639,6.340340861813969e-12,3.699360052478955e-11
2.51565,6.414441865917097e-11,1.6136490897769813e-10
3.4121497,2.6023315165689567e-13,8.879544619609753e-13
2.3091676,3.1551523533344144e-13,7.285775661592442e-13
0.6965088,2.3180131263383134e-11,1.614516598555488e-11
1.7009848,2.3755020756466592e-14,4.0406930076699544e-14
0.6611016,1.8520078680487806e-11,1.2243653271211648e-11
0.6178072,1.8943883057007228e-13,1.1703667528387295e-13
3.8688161,0.0,0.0
3.065288,2.7419675551288818e-11,8.404920426464856e-11
3.0272987,1.296916497791341e-15,3.926153613361656e-15
23.963198,6.740805708527134e-14,1.6153125990552624e-12
0.68871284,1.5697150373081535e-12,1.081082893976207e-12
1.3950602,1.0242153296122165e-12,1.428842023744489e-12
0.81985265,5.847783633321042e-09,4.794320909373031e-09
0.57245755,2.379383630614102e-20,1.3620961283459486e-20
1.1286764,6.261016907106502e-13,7.066662113772647e-13
0.27307332,5.39913990494098e-14,1.4743610353407652e-14
1.458275,3.172108830033592e-10,4.625806878875665e-10
3.956151,2.562618094219885e-09,1.0138104158119873e-08
4.9905705,5.102789184040676e-10,2.546582940022085e-09
1.4977715,5.571425762867271e-13,8.34472273057469e-13
0.41882172,6.82561423012865e-13,2.858715507406673e-13
0.86945486,6.488764474032259e-09,5.641687811802133e-09
1.2571396,4.644625745763003e-15,5.838942782930298e-15
2.726811,9.683159558880655e-10,2.6404145342999794e-09
0.75914276,2.7274381393184117e-09,2.0705149071620325e-09
1.4094788,1.802737975652911e-18,2.540920929086281e-18
0.50987166,2.5465245991970867e-11,1.2984007288584649e-11
3.2585936,1.1018274621043317e-11,3.5904078714346264e-11
1.306865,4.818694593730088e-09,6.297383198840993e-09
0.3930648,2.5294797352486738e-12,9.942494384603884e-13
3.467102,1.6798601577995646e-13,5.824246598132584e-13
0.58312917,1.0115810600089652e-16,5.898824214392154e-17
0.6147367,2.0557164189354757e-11,1.2637242786193104e-11
2.7617903,4.954228240514683e-18,1.3682539377626204e-17
0.19523436,1.1448637410365916e-15,2.2351673783446576e-16
3.406199,2.7045671904322678e-17,9.212294001129653e-17
