gene,anchor_index,function
IGHJ1*01,18,F
IGHJ2*01,19,F
IGHJ3*01,16,F
IGHJ3*02,16,F
IGHJ4*01,14,F
IGHJ4*02,14,F
IGHJ5*01,17,F
IGHJ5*02,17,F
IGHJ6*01,29,F
IGHJ6*04,29,F
