gene;anchor_index
IGHJ1*01;18
IGHJ2*01;19
IGHJ3*01;16
IGHJ3*02;16
IGHJ4*01;14
IGHJ4*02;14
IGHJ5*01;17
IGHJ5*02;17
IGHJ6*01;29
IGHJ6*04;29
